,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
1108,In Situ/Laboratory Instruments,Current/Wind Meters,,,AEROVANES,,ded51fba-1231-4ccd-bbde-c0e407d7d4cd
1109,In Situ/Laboratory Instruments,Current/Wind Meters,,,AIMMS-30,Aventech AIMMS-30 Airborne Wind Sensor,eae6f11d-fdd5-4e31-b119-aa00e6633da8
1110,In Situ/Laboratory Instruments,Current/Wind Meters,,,AIMMS,Aircraft-Integrated Meteorological Measurement System,61435b17-dde2-4254-9e22-dc8cf7db3cb2
1111,In Situ/Laboratory Instruments,Current/Wind Meters,,,ANEMOMETERS,,d0cf9340-dc51-447f-a151-f6cdad265d9a
1112,In Situ/Laboratory Instruments,Current/Wind Meters,,,CRWVA,Combined Recording Wind Vane Anemograph,4e93856a-9669-4b32-9ef5-68dc9ff6c0d7
1113,In Situ/Laboratory Instruments,Current/Wind Meters,,,CURRENT METERS,,0ae93838-ebae-43cf-89bb-f6638300e385
1114,In Situ/Laboratory Instruments,Current/Wind Meters,,,CVI,Counterflow Virtual Impactor,34be23a9-4a1a-45b9-bb9a-f02f2fa90dc7
1115,In Situ/Laboratory Instruments,Current/Wind Meters,,,DRIFTING BUOYS,,141117c3-6d2d-4b78-b0c4-f7150f6dec2e
1116,In Situ/Laboratory Instruments,Current/Wind Meters,,,EDDY CORRELATION DEVICES,,f5a3c5f6-b575-48f4-8479-2bc4092c8f99
1117,In Situ/Laboratory Instruments,Current/Wind Meters,,,ELECTROMAGNETIC DIRECTION METER,,67ee945f-7873-42f2-ae88-9a74a1c1e236
1118,In Situ/Laboratory Instruments,Current/Wind Meters,,,GEK,Geomagnetic Electrokinetographs,97b25e4d-360c-41df-988b-00dd8052493d
1119,In Situ/Laboratory Instruments,Current/Wind Meters,,,GUST PROBES,,c6bb1bff-9420-42ca-b087-91225fbf6c3a
1120,In Situ/Laboratory Instruments,Current/Wind Meters,,,PTGA,Propeller Type Generating Anemovane,f21d5bb6-ae5b-4842-b1e4-f552b80aa4c0
1121,In Situ/Laboratory Instruments,Current/Wind Meters,,,SONIC ANEMOMETER,,46a263bf-4448-421f-be9d-7628f3d03490
1122,In Situ/Laboratory Instruments,Current/Wind Meters,,,TAMMS,Turbulent Air Motion Measurement System (TAMMS),48f3dfd2-bd42-4731-a9d1-fd58eb98e7bf
1123,In Situ/Laboratory Instruments,Current/Wind Meters,,,WIND MONITOR,,e892b190-f905-48b0-8331-7d578e250467
1124,In Situ/Laboratory Instruments,Current/Wind Meters,,,WIND VANES,,9039aa7d-2f28-49da-afe5-e7dff64693fe
1125,In Situ/Laboratory Instruments,Current/Wind Meters,,,,,1b41692e-c7fe-4567-bed9-b938a7400462
