,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
206,Earth Remote Sensing Instruments,Passive Remote Sensing,Altimeters,Pressure Altimeters,PRS Altimeter,Paroscientific Pressure Altimeter,499d9aed-4f71-4d5d-acbb-eb434f6e413b
207,Earth Remote Sensing Instruments,Passive Remote Sensing,Altimeters,Pressure Altimeters,,,eee4d2e4-f229-49af-a3cb-ebd540aa14d5
208,Earth Remote Sensing Instruments,Passive Remote Sensing,Altimeters,,,,2aa41630-56f3-4be1-bb8f-bf99e5485dec
209,Earth Remote Sensing Instruments,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,Composition Analyzer,MMS HPCA,Hot Plasma Composition Analyzer,ffddbe98-056e-46d8-9fc1-27f6807ce0a7
210,Earth Remote Sensing Instruments,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,Composition Analyzer,,,d9fca203-ace2-4d3e-8e5c-2c556ba3cf4b
211,Earth Remote Sensing Instruments,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,Gun Detector,MMS EDI,Electron Drift Instrument,c3c1bb15-f06f-4e94-9351-01c402bd73ca
212,Earth Remote Sensing Instruments,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,Gun Detector,,,1df05f75-d41f-4acd-bd8b-e6262d9c3f49
213,Earth Remote Sensing Instruments,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,MAGNETOMETERS,ASM,Absolute Scalar Magnetometer,b7bc737c-15de-4b67-9bc3-5fa7c2b651d5
214,Earth Remote Sensing Instruments,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,MAGNETOMETERS,CS-3,LDEO Scintrex CS-3 Cesium Magnetometer,c1573a94-789a-4510-a8e4-b358f62180e6
215,Earth Remote Sensing Instruments,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,MAGNETOMETERS,GEOMET 823A,Geometrics 823A Magnetometer,f2da3a4c-b2f9-42c7-932f-899375f733bc
216,Earth Remote Sensing Instruments,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,MAGNETOMETERS,MGF,Magnetic Field Instrument,eb47a4c5-5ab5-4803-9395-f58de828499c
217,Earth Remote Sensing Instruments,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,MAGNETOMETERS,MMS DFG,Digital Fluxgate Magnetometers,277ba2c1-6625-4e5e-8e87-3907ff6178f1
