,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
1224,In Situ/Laboratory Instruments,Pressure/Height Meters,,,AHF,AIRBORNE HEIGHT FINDER,435dfcc7-2683-45ba-a687-af58302a29ea
1225,In Situ/Laboratory Instruments,Pressure/Height Meters,,,ANEROID PRESSURE SENSOR,,d0f46dd0-34b1-483a-ba0c-ee23583553d3
1226,In Situ/Laboratory Instruments,Pressure/Height Meters,,,APS,Air Pressure Sensor,825fecfb-6ffb-42bd-a8c4-688427317f65
1227,In Situ/Laboratory Instruments,Pressure/Height Meters,,,BAROMETERS,,0bf12743-3ab8-4be7-9b48-b565723ed0ad
1228,In Situ/Laboratory Instruments,Pressure/Height Meters,,,CLINOMETERS,,c33cf00b-b168-4e6a-b004-62e50ff09091
1229,In Situ/Laboratory Instruments,Pressure/Height Meters,,,DPG,DIFFERENTIAL PRESSURE GAUGE,39feceb3-722b-4ddb-935b-0c0e6e80410e
1230,In Situ/Laboratory Instruments,Pressure/Height Meters,,,ICE STRESS SENSORS,,fd08b891-2d9f-4c30-a07e-5c618561a79a
1231,In Situ/Laboratory Instruments,Pressure/Height Meters,,,MICROBAROGRAPHS,,4ca7d7a6-539c-4dba-8808-ee2f5b0b2df7
1232,In Situ/Laboratory Instruments,Pressure/Height Meters,,,PIEZOMETERS,,36f24fad-75f5-4dc1-a241-78d719227be3
1233,In Situ/Laboratory Instruments,Pressure/Height Meters,,,PIPE STRAIN METER,,18455f8f-6ead-439d-afe2-66088fa1d54f
1234,In Situ/Laboratory Instruments,Pressure/Height Meters,,,PITOT-STATIC SYSTEM,,7933236b-7bef-4339-a257-3446fb365e2f
1235,In Situ/Laboratory Instruments,Pressure/Height Meters,,,PRESSURE CHAMBERS,,1c274ce0-6357-4a3a-8249-ba00a9b469ec
1236,In Situ/Laboratory Instruments,Pressure/Height Meters,,,PRESSURE GAUGES,,7ec2816e-97fe-434e-8b1b-b720ddab80f3
1237,In Situ/Laboratory Instruments,Pressure/Height Meters,,,PRESSURE JUMP DETECTOR,,9645b8e1-3c26-41be-bd4d-2c889db7771c
1238,In Situ/Laboratory Instruments,Pressure/Height Meters,,,PRESSURE PROBE,,9bb0baec-1ead-4c81-a953-425b45b09463
1239,In Situ/Laboratory Instruments,Pressure/Height Meters,,,PRESSURE SENSORS,,fd1ac194-aa45-44b4-b155-8ef37c977736
1240,In Situ/Laboratory Instruments,Pressure/Height Meters,,,PRESSURE TRANSDUCERS,,4d2ed1b9-cd43-497b-97d8-c1fcbc37dbba
1241,In Situ/Laboratory Instruments,Pressure/Height Meters,,,ROSEMOUNT PROBES,,f49fcfc6-e6e4-4587-b9f4-a27d67cdd2a3
1242,In Situ/Laboratory Instruments,Pressure/Height Meters,,,SCHOLANDER PRESSURE CHAMBER,,77548cb9-3844-4992-bfb4-47d8d25d773c
1243,In Situ/Laboratory Instruments,Pressure/Height Meters,,,SOIL PRESSURE PLATE,,a27589e4-5c8c-494a-b0b2-9065c9d7f7ec
1244,In Situ/Laboratory Instruments,Pressure/Height Meters,,,STRAIN METER,,2eca5bba-aa78-44db-aa87-e7007c0a0c29
1245,In Situ/Laboratory Instruments,Pressure/Height Meters,,,SURVEYING TOOLS,,715de185-321a-460e-b644-da20a8830ec1
1246,In Situ/Laboratory Instruments,Pressure/Height Meters,,,VCEIL,Vaisala Ceilometer,2d42ec44-082b-4510-afa0-bb7ca6d7296b
1247,In Situ/Laboratory Instruments,Pressure/Height Meters,,,,,b5f5efbe-5b2a-405d-b1ea-ab6c90028009
