,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
1487,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hydrometers,,DEWPOINT HYDROMETERS,,fdc33ea9-1f74-40ec-b7d2-c44f384832e5
1488,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hydrometers,,HYDROMETERS,,fbe41309-c094-4218-8d5c-71e4877b899d
1489,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hydrometers,,,,c848a856-6210-47c4-b8e3-97427f04a035
1490,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hydrothermographs,,HYGROTHERMOGRAPHS,,c0293996-1fd5-46c1-a6e3-14beaefd8ad2
1491,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hydrothermographs,,,,f82756a9-2df8-4dd3-96be-c2cecd5fc1fb
1492,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hygrometers,,FPH,Lyman-Alpha Total Water,46a7ac7c-61e2-42d2-bffb-a55b306eefe8
1493,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hygrometers,,HYGROMETERS,,8a22fea1-f43e-4147-abca-13e44016a483
1494,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hygrometers,,LASER HYGROMETERS,,1f440b16-46d6-4088-9430-73d7bf9a4c84
1495,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hygrometers,,LYMAN-ALPHA HYGROMETER,,667219fb-9061-40cf-933e-fd5d81272581
1496,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hygrometers,,,,2ac83116-414b-44ce-a075-eb65f42e8232
1497,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hypsometers,,HYPSOMETERS,,47085051-bcbe-4789-89a2-d2c7ed6b3f91
1498,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Hypsometers,,,,bc0c1807-5f6e-4e96-a9e2-99bfafef5ebc
1499,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Pyrometers,,PYROMETERS,,a09ad3d5-233c-4d86-9a44-7e09ab9063c4
1500,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Pyrometers,,,,9a22613f-f9c8-44dd-b1b5-c082c69c891b
1501,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermistors,,THERMISTORS,,d62f53e7-e2e0-496a-a03e-e31fa95b91f0
1502,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermistors,,,,3b633c32-737c-4c2f-afd4-394efbc8e7e2
1503,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermocouples,,THERMOCOUPLES,,fd49213d-3ad6-455d-bf97-89251483c88d
1504,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermocouples,,,,a36df81b-010c-4a78-a276-35f8ba594432
1505,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermometers,,DRY BULB THERMOMETERS,,e6080f1a-96ea-4ec8-aa25-d71c0d873ab3
1506,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermometers,,INFRARED THERMOMETERS,,b4b8b67d-7272-43b2-b096-2bb3d256a6a0
1507,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermometers,,PRT,Precision Radiation Thermometers,73196754-1e60-4289-89a9-f1147fa1e3e0
1508,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermometers,,QUARTZ CRYSTAL THERMOMETER,,4c21c47b-2ef3-4529-8fa5-3a0085cd556e
1509,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermometers,,RT,Reversing Thermometer,27353319-c995-4fb6-9b1f-8720d9b742ea
1510,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermometers,,THERMOMETERS,,1cf3fcba-3195-45b8-a14c-dbaf7111b6df
1511,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermometers,,WET BULB THERMOMETERS,,33237ad6-ddac-482a-a18a-b9a1656a1b58
1512,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,Thermometers,,,,84496caa-d54c-491a-8ff7-fe0e54851341
1513,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,,,CFDC,Continuous Flow Diffusion Chamber,4dbc32a5-26a6-4f09-a889-8948152f38c6
1514,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,,,HUMIDITY SENSORS,,b2da7ee4-a58c-43cc-a1da-016b3e7c306a
1515,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,,,HUMIDITY TRANSDUCERS,,cadcab4e-41f9-4056-9e08-a10d6791a9bb
1516,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,,,PSYCHROMETERS,,45cc9562-3589-47ad-8220-6cbf5bf1ef80
1517,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,,,RTD,Resistance Temperature Detectors,d4de5424-3a98-4d11-885a-e83626cf3bb2
1518,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,,,SOIL HEAT FLUX TRANSDUCER,,eaaf9dfd-4260-4d06-b0eb-83158cef0891
1519,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,,,TEMPERATURE SENSORS,,aa953a14-4581-47f8-a5b3-c8dd50904ee0
1520,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,,,Total Precipitation Sensor (Hotplate),,1f6e288e-be38-4b9e-aad6-d8413e06e21c
1521,In Situ/Laboratory Instruments,Temperature/Humidity Sensors,,,,,bb5a51d9-0ded-40ed-9bfd-7cb0e788f1a5
