Category,Series_Entity,Short_Name,Long_Name,UUID
"Earth Observation Satellites","AD (Atmospheric Dynamics)","AD-A","Atmosphere Dynamics A (Explorer 19)","0e03a1c5-1d20-46ae-9041-94d1ff77783f"
"Earth Observation Satellites","AD (Atmospheric Dynamics)","AD-B","Atmosphere Dynamics B (Explorer 24)","fd3a7054-3aec-41ea-a281-3edba4f9f313"
"Earth Observation Satellites","AD (Atmospheric Dynamics)","AD-C","Atmosphere Dynamics C (Explorer 39)","23be0822-1db5-4bf6-bf28-f6bd36754ac3"
"Earth Observation Satellites","AD (Atmospheric Dynamics)","","","d1bbc871-749b-4759-bf4f-f8349f8b4020"
"Earth Observation Satellites","ADEOS (Advanced Earth Observing Satellite)","ADEOS-II","Advanced Earth Observing Satellite-II","5d00fc17-cf10-4d1b-b871-07099d0b728a"
"Earth Observation Satellites","ADEOS (Advanced Earth Observing Satellite)","ADEOS-I","Advanced Earth Observing Satellite-I","359bcfa1-966f-4d2b-a48d-ac12165d250f"
"Earth Observation Satellites","ADEOS (Advanced Earth Observing Satellite)","","","119b40ad-749c-4ff6-af9b-1e9696f78dd8"
"Earth Observation Satellites","AE (Atmosphere Explorer)","AE-A","Atmosphere Explorer A (Explorer 17)","5a2b20fa-89d3-4cfc-b186-fbc29113e910"
"Earth Observation Satellites","AE (Atmosphere Explorer)","AE-B","Atmosphere Explorer B (Explorer 32)","65bdc896-7ed5-4d22-8b15-df0914b5be69"
"Earth Observation Satellites","AE (Atmosphere Explorer)","AE-C","Atmosphere Explorer C (Explorer 51)","f62c196b-8ec3-40e8-a824-6849e5a496f2"
"Earth Observation Satellites","AE (Atmosphere Explorer)","AE-D","Atmosphere Explorer D (Explorer 54)","3516fe07-9d51-42f3-b635-b6a5001e1d6c"
"Earth Observation Satellites","AE (Atmosphere Explorer)","AE-E","Atmosphere Explorer E (Explorer 55)","340b5b79-16c4-4cb7-9476-5cbab3efd834"
"Earth Observation Satellites","AE (Atmosphere Explorer)","","","96dcdb2e-3861-4a4b-97f4-764fd117a0f1"
"Earth Observation Satellites","AEM (Applications Explorer Mission)","AEM-1","Applications Explorer Mission-1","cb310a29-01bb-4b52-8ff2-52dbfda7d050"
"Earth Observation Satellites","AEM (Applications Explorer Mission)","AEM-2","Applications Explorer Mission-2","a796345a-53d4-400d-ba32-e7c7eaa1a1cc"
"Earth Observation Satellites","AEM (Applications Explorer Mission)","AEM-3","Applications Explorer Mission-3","7921a2bb-f13b-43ce-ad18-cfce4f3deb9c"
"Earth Observation Satellites","AEM (Applications Explorer Mission)","","","b1337c5b-c705-42c0-bc07-97689734253c"
"Earth Observation Satellites","AEROS","AEROS-1","","6164d877-53a0-4ba2-b73a-9dfb363474c9"
"Earth Observation Satellites","AEROS","AEROS-2","","df8ac2e0-810a-4671-b2dc-c031487d14ee"
"Earth Observation Satellites","AEROS","","","52aef8fa-ae6a-451a-a227-d109a6605cf6"
"Earth Observation Satellites","ALOUETTE","ALOUETTE-1","","4f800938-81f5-4478-bb05-54915f641b70"
"Earth Observation Satellites","ALOUETTE","ALOUETTE-2","","080e9bc1-058f-4eab-b7ce-009b323299ca"
"Earth Observation Satellites","ALOUETTE","","","5981d335-9b9d-4043-a963-f71a678384ee"
"Earth Observation Satellites","ATS (Advanced Technology Satellite)","ATS-1","Advanced Technology Satellite-1","5f78a0f6-bd07-4cbf-9e13-4ad44aeb4ac3"
"Earth Observation Satellites","ATS (Advanced Technology Satellite)","ATS-2","Advanced Technology Satellite-2","1190ffd3-586f-46a5-bf9b-e7bf16281edd"
"Earth Observation Satellites","ATS (Advanced Technology Satellite)","ATS-3","Advanced Technology Satellite-3","6988684a-7e7c-48a7-a1c3-2586dddd1fd4"
"Earth Observation Satellites","ATS (Advanced Technology Satellite)","ATS-4","Advanced Technology Satellite-4","cb8e56df-863a-41a6-a389-237a9725ae8b"
"Earth Observation Satellites","ATS (Advanced Technology Satellite)","","","14b369b6-19d4-41fe-b1bc-27807ecb666d"
"Earth Observation Satellites","BE (Beacon Explorer)","BE-B","Beacon Explorer-B","f18c5acb-6318-4d40-bda2-459ec09c57f5"
"Earth Observation Satellites","BE (Beacon Explorer)","BE-C","Beacon Explorer-C","b0376960-fe7c-4117-8da6-d56a124d09bf"
"Earth Observation Satellites","BE (Beacon Explorer)","","","74cf41a6-464f-44bf-ba05-1535200d6354"
"Earth Observation Satellites","CARTOSAT","CARTOSAT-2A","","16ee6fd3-565f-49b4-8b6e-73c4f8858e01"
"Earth Observation Satellites","CARTOSAT","CARTOSAT-2","","71ccf8e3-7b1f-418d-9bc0-0ead78ec75ee"
"Earth Observation Satellites","CARTOSAT","","","b65c6b10-a648-4a7c-9af1-71506ed9bb13"
"Earth Observation Satellites","CBERS (China-Brazil Earth Resources Satellite)","CBERS-1","China-Brazil Earth Resource Satellite 1","0303de56-025a-416c-8a2e-ac14979dc455"
"Earth Observation Satellites","CBERS (China-Brazil Earth Resources Satellite)","CBERS-2B","China-Brazil Earth Resource Satellite 2B","274b7618-c580-4466-8a63-f79b0beb778c"
"Earth Observation Satellites","CBERS (China-Brazil Earth Resources Satellite)","CBERS-2","China-Brazil Earth Resource Satellite 2","808fa0c2-1d97-4347-a5dd-2b285000c6f2"
"Earth Observation Satellites","CBERS (China-Brazil Earth Resources Satellite)","CBERS-3","China-Brazil Earth Resource Satellite 3","064b3481-8a82-4c2b-9d59-86eda10cff53"
"Earth Observation Satellites","CBERS (China-Brazil Earth Resources Satellite)","CBERS-4","China-Brazil Earth Resource Satellite 4","8551bdde-6ae3-459f-a903-ec1ce7fab5d9"
"Earth Observation Satellites","CBERS (China-Brazil Earth Resources Satellite)","","","2b68d69c-e4c8-4194-8db6-8b9002607fb6"
"Earth Observation Satellites","COSMOS","COSMOS 1500","","04bda92c-0e4f-4e60-82d0-2242b14ce0c4"
"Earth Observation Satellites","COSMOS","COSMOS 49","","8491e067-951e-4cba-9619-d376b5c628a0"
"Earth Observation Satellites","COSMOS","","","0aee28fe-1c74-4743-8855-003bc1075174"
"Earth Observation Satellites","DE (Dynamics Explorer)","DE-1","Dynamics Explorer-1","59dcd28c-9bd0-4b00-a68c-d892c68bf614"
"Earth Observation Satellites","DE (Dynamics Explorer)","DE-2","Dynamics Explorer-2","1bc7b5ee-93b6-4bc4-b340-89507104d33f"
"Earth Observation Satellites","DE (Dynamics Explorer)","","","74bd6271-10ce-428d-8368-4abbd12da55f"
"Earth Observation Satellites","DIADEM","DIADEM-1C","","5edd7e9b-8b22-438a-b2e2-2c708bd0ac9c"
"Earth Observation Satellites","DIADEM","DIADEM-1D","","143a5181-7601-4cc7-96d1-2b1a04b08fa7"
"Earth Observation Satellites","DIADEM","","","4a21b488-a0ed-4b11-9b7a-a32e123b555e"
"Earth Observation Satellites","DMC-1G (Disaster Monitoring Constellation- 1st Generation)","ALSAT-1","","5ec20355-ec48-41cf-9020-9d094af549e6"
"Earth Observation Satellites","DMC-1G (Disaster Monitoring Constellation- 1st Generation)","BEIJING-1","","05d8035f-176b-451a-a52b-43d2cc6286bb"
"Earth Observation Satellites","DMC-1G (Disaster Monitoring Constellation- 1st Generation)","BILSAT-1","","144d9185-4435-4cb3-8f09-b3f569eb3a33"
"Earth Observation Satellites","DMC-1G (Disaster Monitoring Constellation- 1st Generation)","NIGERIASAT-1","","cf904fd3-2fba-40b8-9950-4e200b83a919"
"Earth Observation Satellites","DMC-1G (Disaster Monitoring Constellation- 1st Generation)","UK-DMC","","2a79b3d1-6417-4ec7-bf03-ac03f0b45266"
"Earth Observation Satellites","DMC-1G (Disaster Monitoring Constellation- 1st Generation)","","","591c05ef-9b21-4c96-84b5-33f95cca3ab7"
"Earth Observation Satellites","DMC-2G (Disaster Monitoring Constellation- 2nd Generation)","Deimos-1","","8b35d386-0999-4b6e-ad12-f8501427b0ca"
"Earth Observation Satellites","DMC-2G (Disaster Monitoring Constellation- 2nd Generation)","NigeriaSat-2","","1dda5116-4079-445e-ae1c-614e49879cf3"
"Earth Observation Satellites","DMC-2G (Disaster Monitoring Constellation- 2nd Generation)","NigeriaSat-X","","35cafb99-393d-4727-a89d-5472512b2fdf"
"Earth Observation Satellites","DMC-2G (Disaster Monitoring Constellation- 2nd Generation)","UK-DMC-2","","03afbb23-76cc-4241-b5a3-853367f8461f"
"Earth Observation Satellites","DMC-2G (Disaster Monitoring Constellation- 2nd Generation)","","","e5184d15-eec8-4703-8318-243748ddbd0e"
