Category,Series_Entity,Short_Name,Long_Name,UUID
"In Situ Land-based Platforms","AIR MONITORING STATIONS/NETWORKS","BAPMON","Background Air Pollution Monitoring Stations","cb5fc8b1-e8e3-4984-84ac-03f6f4d8a662"
"In Situ Land-based Platforms","AIR MONITORING STATIONS/NETWORKS","ESRL STATIONS","NOAA Earth Science Research Laboratory Stations","c775e963-be99-4dcf-8edd-ab826995dcba"
"In Situ Land-based Platforms","AIR MONITORING STATIONS/NETWORKS","GMCC","NOAA Geophysical Monitoring for Climatic Change Stations","7e99dce7-ccef-4e44-a234-9af5ffa83e4f"
"In Situ Land-based Platforms","AIR MONITORING STATIONS/NETWORKS","","","76ba9890-0da6-4567-8b8b-0deff9108ef2"
"In Situ Land-based Platforms","GEOPHYSICAL STATIONS/NETWORKS","Analytical Lab","","ac63eed1-779d-4085-92f8-5743ec64a942"
"In Situ Land-based Platforms","GEOPHYSICAL STATIONS/NETWORKS","FDSN","Federation of Digital Seismographic Networks","0768c45e-417b-4c35-aeb3-28e4325ef2d2"
"In Situ Land-based Platforms","GEOPHYSICAL STATIONS/NETWORKS","GEODYNAMIC STATIONS","","106de241-cb93-4ccc-8255-71784fd14b0c"
"In Situ Land-based Platforms","GEOPHYSICAL STATIONS/NETWORKS","GEOMAGNETIC STATIONS","","1fc48515-92a3-48a6-bbf0-61dfb23b1c9c"
"In Situ Land-based Platforms","GEOPHYSICAL STATIONS/NETWORKS","GEOMET","USGS Desert Winds Geological/Meteorological Ground Station","42f675c4-e14a-455c-b3f3-7cff1a7025f9"
"In Situ Land-based Platforms","GEOPHYSICAL STATIONS/NETWORKS","GRAVITY STATIONS","","9a869e6f-df72-49dd-ac66-b9d319b9db77"
"In Situ Land-based Platforms","GEOPHYSICAL STATIONS/NETWORKS","GSN","Global Seismic Network","abb8c7fb-7b79-4eb3-8106-5152b8bdf8a3"
"In Situ Land-based Platforms","GEOPHYSICAL STATIONS/NETWORKS","IRIS-GSN","Incorporated Research Institutions for Seismology Network - Global Seismographic Network","5423963b-822b-4eac-8442-c9fab383f5e8"
