Category,Series_Entity,Short_Name,Long_Name,UUID
"In Situ Ocean-based Platforms","BUOYS","BUOYS","","3c5df34c-b231-460d-b3b6-4145c1fa8f25"
"In Situ Ocean-based Platforms","BUOYS","TAO","TROPICAL ATMOSPHERE OCEAN","c9cb3b35-570d-4aa4-a8e1-2a21aacc67c4"
"In Situ Ocean-based Platforms","BUOYS","TRITON","TRIangle Trans-Ocean Buoy Network","22946f69-ea37-451d-afe5-409b42dcd983"
"In Situ Ocean-based Platforms","BUOYS","","","e36481f3-5507-428b-a870-67f6d96ae389"
"In Situ Ocean-based Platforms","FLOATS","PALACE FLOAT","Profiling Autonomous Lagrangian Circulation Explorer","b4d40e77-a862-418e-a8dc-f7b7e704b4cc"
"In Situ Ocean-based Platforms","FLOATS","PROTEUS","Profile Telemetry of Upper Ocean Currents","c9bfbe86-064a-4d64-875b-cb36bff3f9e9"
"In Situ Ocean-based Platforms","FLOATS","","","6e59f4bf-41dd-4ade-9070-4efcae4628fb"
"In Situ Ocean-based Platforms","HOV","Alvin","","57323291-3348-4292-812e-7436d6a0781a"
"In Situ Ocean-based Platforms","HOV","Clelia","","78c6cfd9-0df5-435e-9bb1-d14322db928f"
"In Situ Ocean-based Platforms","HOV","DeepWorker 2000","","caa8300a-560a-4190-b257-6f8d33f6f134"
"In Situ Ocean-based Platforms","HOV","Johnson-Sea-Link II","","cb5ab3cc-48d1-4b0c-b72b-700a6faee11e"
"In Situ Ocean-based Platforms","HOV","Johnson-Sea-Link I","","ae078302-17ab-4cc5-ba7d-7a8a0102c01b"
"In Situ Ocean-based Platforms","HOV","MIR II","","2fcdab81-7527-4344-a26c-632746e94423"
"In Situ Ocean-based Platforms","HOV","MIR I","","15f4ae34-a5c9-43e0-84d6-246690648fca"
"In Situ Ocean-based Platforms","HOV","Pisces V","","0f50133b-1ef8-4c67-97a3-ac0604a41fc8"
"In Situ Ocean-based Platforms","HOV","","","63c8aa1d-6efc-4943-8891-3a1cd520dde0"
"In Situ Ocean-based Platforms","MOORINGS","ATLAS MOORINGS","Autonomous Temperature Line Acquisition System","d52d296b-370a-4741-8f07-e6b6873191c6"
"In Situ Ocean-based Platforms","MOORINGS","MOORINGS","","fbcd0c2b-f8ac-4199-9a37-5e7a39150730"
"In Situ Ocean-based Platforms","MOORINGS","","","1468d86c-f2b8-4fbf-8e8b-8831fd598801"
"In Situ Ocean-based Platforms","OCEAN PLATFORM/OCEAN STATIONS","C-MAN","Coastal Marine Network","7fdf83a9-e0b3-4bb2-a6f4-801078f62cc9"
"In Situ Ocean-based Platforms","OCEAN PLATFORM/OCEAN STATIONS","DRILLING PLATFORMS","","cd14c407-881b-4fc1-8222-f1eeed77f4e2"
"In Situ Ocean-based Platforms","OCEAN PLATFORM/OCEAN STATIONS","GEOSTAR","GEophysical and Oceanographic STation for Abyssal Research","1d168c0e-82cd-407c-a49a-f343b4fc4e24"
"In Situ Ocean-based Platforms","OCEAN PLATFORM/OCEAN STATIONS","NEMO-SN1","NEutrino Mediterranean Observatory - Submarine Network 1","83212677-16fc-42ab-9a23-cdbbacfa1d18"
"In Situ Ocean-based Platforms","OCEAN PLATFORM/OCEAN STATIONS","OCEAN PLATFORMS","","5a4e787b-55e4-47d4-9520-ee74d6efdb6e"
"In Situ Ocean-based Platforms","OCEAN PLATFORM/OCEAN STATIONS","OCEAN WEATHER STATIONS","","d26f4894-667e-4e29-8e0b-5db476c98464"
"In Situ Ocean-based Platforms","OCEAN PLATFORM/OCEAN STATIONS","SN-2","Submarine Network 2","d227bc01-e09a-4356-89d3-84cae164eeec"
