"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA NSIDC DAAC","NASA National Snow and Ice Data Center Distributed Active Archive Center","https://nsidc.org/daac/","3153523e-9658-43f7-8930-ebf4c6bbc029"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/AE","Aerospace Encounter, Ames Research Center, NASA","https://www.nasa.gov/ames/aee","b329d6a4-cc29-4be6-9592-c9c038243223"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/ECOCAST","Ecological Forecasting Laboratory, Ames Research Center, NASA","https://ecocast.arc.nasa.gov/","68ef1146-38c9-45c0-8256-f7b7dc880472"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/ESD/ESPO","Earth Science Project Office, Earth Sciences Division, Ames Research Center, NASA","https://espo.nasa.gov/","afd65468-48e1-4f5d-b49f-2b76a5d51e17"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/ESD/SGE","Ecosystem Science and Technology Branch, Earth Sciences Division, Ames Research Center, NASA","https://geo.arc.nasa.gov/sge/","b854844b-36c5-40fe-a469-75b1ec14d919"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/LT/WW","World Wind, Learning Technologies, Ames Research Center, NASA","https://worldwind.arc.nasa.gov/","1bc04a4f-2253-4a52-b2ab-85d9497b1902"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/LT","Learning Technologies, Ames Research Center, NASA","http://learn.arc.nasa.gov/","d86cbb1b-d4b5-4cb6-a524-c447de4d1ea6"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/MAS","MODIS Airborne Simulator Development Team, Ames Research Center, NASA","https://mas.arc.nasa.gov/","1ac56dfe-52c4-42f0-8e13-5cc0135ab57e"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/NAS/NEX","NASA Earth Exchange, NASA Advanced Supercomputing Division, Ames Research Center, NASA","https://nex.nasa.gov/nex/","746871d4-36f9-4ad6-979e-32b6327f4b16"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/OSS","Open Source Software, Ames Research Center, NASA","https://ti.arc.nasa.gov/opensource/","968973a3-b5d4-4ce3-9717-944485d22192"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/ARC/SOFIA/EPO","Education and Public Outreach, Stratospheric Observatory for Infrared Astronomy, Ames Research Center, NASA","http://www.sofia.usra.edu/Edu/edu.html","b36af28a-4961-42c7-a046-0936b093ba6e"
