"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/AIRSEA","Air - Sea Interaction & Climate, Jet Propulsion Laboratory, NASA","https://airsea-www.jpl.nasa.gov/","dc0ee7c4-9658-4e86-93a6-4562cec2ff0f"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/AIRS","Atmospheric Infrared Sounder, Jet Propulsion Laboratory, NASA","https://airs.jpl.nasa.gov/","ede08f78-eeb7-48ee-ab55-353590b54b51"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/AQUARIUS","AQUARIUS, Jet Propulsion Laboratory, NASA","http://aquarius.nasa.gov/","560a0244-8264-4ba4-956a-4b0a71dc2bb3"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/ASO","Airborne Snow Observatory, Jet Propulsion Laboratory, NASA","https://aso.jpl.nasa.gov/","511e9d80-200b-425f-9213-4688c0ff6246"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/ASTER","ASTER, JET PROPULSION LABORATORY, NASA","https://asterweb.jpl.nasa.gov/","68b17bbb-c3a2-4e64-854a-293fc46df7ff"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/ATMOS","Atmospheric Trace Molecule Spectroscopy Experiment, Jet Propulsion Laboratory, NASA","http://remus.jpl.nasa.gov/atmos/","31b1f729-dada-40cd-a759-f0bc4aad8aea"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/AVIRIS","Airborne Visible Infrared Imaging Spectrometer Data Facility, Jet Propulsion Laboratory, NASA","https://aviris.jpl.nasa.gov/","8135016d-777c-4a00-bf69-bb918e048d35"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/CC","Climate Change: NASA's Eyes on the Earth, Jet Propulsion Laboratory, NASA","https://climate.nasa.gov/","76d506b7-89cd-478b-b3ed-134533a00a6c"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/CMDS","Coastal Marine Discovery Service, Jet Propulsion Laboratory, NASA","http://cmds.jpl.nasa.gov/","5bb02f1b-65a5-4b37-a62d-b87f8ee70e46"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JPL/ECOSTRESS","ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station, Jet Propulsion Laboratory, NASA","https://ecostress.jpl.nasa.gov/","e6f2b759-7954-41f8-834b-f257ad99976f"
