"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"ACADEMIC","","","","OR-STATE/BG","Buoy Group, Oregon State University","http://kepler.oce.orst.edu/","58caf8c0-e420-4c49-b7c0-648c57fcdf5b"
"ACADEMIC","","","","OR-STATE/BLG","Boundary Layer Group, Oregon State University","http://www.coas.oregonstate.edu/index.cfm?content.display&pageID=171","b227c339-7b05-494f-85b6-331b963955b6"
"ACADEMIC","","","","OR-STATE/CEOAS","College of Earth, Ocean, and Atmospheric Sciences, Oregon State University","https://ceoas.oregonstate.edu/","41b416ea-2b9b-47f1-beba-90c423d74e0b"
"ACADEMIC","","","","OR-STATE/COAS","College of Oceanic and Atmospheric Sciences, Oregon State University","http://www.oce.orst.edu/","bbefb093-91fa-4aa0-aab8-189cd76f4037"
"ACADEMIC","","","","OR-STATE/COF/FES","Forest Ecosystems and Society, College of Forestry, Oregon State University","http://fes.forestry.oregonstate.edu/","fe155403-69a1-4f66-a677-2e0bd3d8d63d"
"ACADEMIC","","","","OR-STATE/COF","College of Forestry, Oregon State University","http://www.cof.orst.edu/","3ae4eaae-f83f-443a-9c64-0f27ca251c68"
"ACADEMIC","","","","OR-STATE/CROP-SOIL","Department of Crop and Soil Science, Oregon State University","http://cropandsoil.oregonstate.edu/","8748d88c-3da5-4be6-a3f5-ba693feb20eb"
"ACADEMIC","","","","OR-STATE/EOARC","","","f1c55d9c-357b-4ae2-8c5a-baed9748d604"
"ACADEMIC","","","","OR-STATE/FOREST/FSL","Corvallis Forestry Research Community, Department of Forest Science, Oregon State University","http://www.fsl.orst.edu","ec28f32e-2c90-448b-a968-cba608f1e0a4"
"ACADEMIC","","","","OR-STATE/FS","FOREST SCIENCE, OREGON STATE UNIVERSITY","http://www.cof.orst.edu/cof/fs/","49b9200d-3cac-41f6-bf99-4e14865b336c"
"ACADEMIC","","","","OR-STATE/GEO/TGL","Terra Cognita Laboratory, Department of Geosciences, Oregon State University","http://bufo.geo.orst.edu/","30d88561-d41b-4f50-847b-76a8b1c1778c"
"ACADEMIC","","","","OR-STATE/GEO","Department of Geosciences, Oregon State University","http://www.geo.oregonstate.edu/","7107206a-a81c-40e6-9ddf-e3d3c9e275ba"
"ACADEMIC","","","","OR-STATE/INR","Institute for Natural Resources, Oregon State University","http://inr.oregonstate.edu/","f2cba458-49ae-47ff-8f06-c091c2d1391c"
"ACADEMIC","","","","OR-STATE/IPPC","Integrated Plant Protection Center, Oregon State University","http://www.ipmnet.org/","fa0d287a-f607-4b50-a052-e20b6a3198ab"
"ACADEMIC","","","","OR-STATE/LARSE","Laboratory for Applications of Remote Sensing in Ecology, Oregon State University","http://www.fsl.orst.edu/larse/","59e987a3-0da0-43d7-88d5-22c8ec06d6b7"
"ACADEMIC","","","","OR-STATE/NACSE","Northwest Alliance for Computational Science & Engineering, Oregon State University","http://www.nacse.org/","4903413a-ce33-4bd2-8be4-766f67b8589e"
"ACADEMIC","","","","OR-STATE/RSOO","Remote Sensing Ocean Optics, Oregon State University","http://picasso.oce.orst.edu/ORSOO/","018159fa-b94f-444c-9dbe-c2d2dd753593"
