"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"ACADEMIC","","","","UWA/APL/PSC","Polar Science Center, Applied Physics Laboratory, University of Washington","http://psc.apl.washington.edu/","c8065475-d80f-4708-b4fb-73c9fb4fa7ba"
"ACADEMIC","","","","UWA/APL","Applied Physics Laboratory, University of Washington","http://www.apl.washington.edu/","cd9fed35-fc69-4d0c-bbc1-cfb8dd874917"
"ACADEMIC","","","","UWA/ATMOS/JISAO/CSES","Center for Science in the Earth System, Joint Institute for the Study of the Atmosphere and Ocean, Department of Atmospheric Sciences, University of Washington","http://www.cses.washington.edu/","116b8268-0df6-4c2a-b31c-9c05912d2a65"
"ACADEMIC","","","","UWA/ATMOS/JISAO","Joint Institute for the Study of the Atmosphere and Ocean, Department of Atmospheric Sciences, University of Washington","https://jisao.uw.edu","4afbb49a-748e-41fa-9864-7b0cf80ea5af"
"ACADEMIC","","","","UWA/ATMOS","Department of Atmospheric Science, University of Washington","http://www.atmos.washington.edu/","0b21bd11-7eff-4012-86df-f56a428676a5"
"ACADEMIC","","","","UWA/CFR","College of Forest Resources, University of Washington","http://www.cfr.washington.edu/","cb2dcfc9-cc83-4dd4-92d5-e63286752713"
"ACADEMIC","","","","UWA/ESS/GLACIOLOGY","Glaciology, Near-Surface Geophysics, Earth and Space Sciences, University of Washington","https://earthweb.ess.washington.edu/glacial//Glaciology/Home.html","2c8bb5fe-6386-491d-b76c-9aab3486fa1e"
"ACADEMIC","","","","UWA/ESS/QRC/COSMOLAB","Cosmogenic Nuclide Lab, Quaternary Research Center, Earth and Space Sciences, University of Washington","http://depts.washington.edu/cosmolab/","6e336b97-634b-46f3-aa5a-fbebe735cd23"
"ACADEMIC","","","","UWA/ESS/QRC","Quaternary Research Center, Earth and Space Sciences, University of Washington","http://depts.washington.edu/qrc/","9627bf0f-5b3a-40fe-a431-4572fbaa23ec"
"ACADEMIC","","","","UWA/ESS/SPACE","Earth and Space Sciences, Space Physics Group, University of Washington","https://earthweb.ess.washington.edu/space/","a612d2e3-1ab2-41a3-af76-edce12ba8fc8"
"ACADEMIC","","","","UWA/ESS","Earth and Space Sciences, University of Washington","http://www.ess.washington.edu/","fbeb961d-8fe2-4723-8664-de6d0c1056db"
"ACADEMIC","","","","UWA/HYDRO","Land Surface Hydrology Research Group, University of Washington","http://www.hydro.washington.edu/","0d2c6ddb-eea5-44c7-94db-9439ec628f86"
"ACADEMIC","","","","UWA/IsoLab","University of Washington, Department of Earth and Space Sciences, IsoLab","http://isolab.ess.washington.edu/isolab/","a7b6f0fb-3859-4ed7-9ea0-208130210c56"
"ACADEMIC","","","","UWA/OCEAN","School of Oceanography, University of Washington","http://www.ocean.washington.edu/","461e8220-3ccc-47ac-b965-51988b4ec5fd"
"ACADEMIC","","","","UWA/SAFS/CBR","Columbia Basin Research, School of Aquatics and Fisheries Sciences, University of Washington","http://www.cbr.washington.edu/","6fee77c2-5793-482b-990f-27bc95d75c74"
"ACADEMIC","","","","UWA/SAFS/UWFC","University of Washington Fish Collection, School of Aquatic and Fishery Sciences, University of Washington","http://uwfishcollection.org/","8463b70c-0dba-4823-a16f-0ce4213b1d05"
