,Category,Topic,Term,Variable_Level_1,Variable_Level_2,Variable_Level_3,Detailed_Variable,UUID
2417,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,CALCIUM,,,,7b9fb947-97cd-4354-a799-f14a81564132
2418,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,CARBON DIOXIDE,,,,37dac8df-b04b-4561-91fb-886e1bded2c1
2419,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,ELECTRICAL PROPERTIES,,,,01a4a324-cad3-441d-b0f1-02dc9742784a
2420,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,ICE CORE AIR BUBBLES,,,,3643618f-3af3-4c69-8beb-2ad14141a176
2421,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,IONS,,,,591d2038-5c5e-47bf-a551-1b28f33d1f05
2422,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,IRON,,,,cf32d0f2-31f5-450d-9f1d-8aa38fd526dc
2423,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,ISOTOPES,,,,096f466a-a86a-42ac-93f7-05a799910817
2424,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,METHANE,,,,daab3b2a-1fe7-4ad9-8340-1a7cfa54a2ac
2425,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,NITROUS OXIDE,,,,ddbd1be1-2a1b-4aea-a085-6a63208a75c0
2426,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,PARTICULATE MATTER,,,,63c7d604-707e-4c38-8baf-19a620e61917
2427,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,POTASSIUM,,,,aeaa43ab-5ccf-4df7-b8ad-b9f9f4249551
2428,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,SODIUM,,,,c692e8e4-b920-4eb5-86c3-b5f6121fec4b
2429,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,VELOCITY,,,,4487cb97-df49-421f-8c00-5c5f12dd8af1
2430,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,VOLCANIC DEPOSITS,,,,2f4ccb5c-7b99-442c-9054-964070d95f7b
2431,EARTH SCIENCE,PALEOCLIMATE,ICE CORE RECORDS,,,,,dba19648-3f52-48ba-b00b-8527d44c4d74
