,Category,Topic,Term,Variable_Level_1,Variable_Level_2,Variable_Level_3,Detailed_Variable,UUID
2966,EARTH SCIENCE,SPECTRAL/ENGINEERING,GAMMA RAY,GAMMA RAY FLUX,,,,fd8d9257-795c-4406-b205-cf20059d8e77
2967,EARTH SCIENCE,SPECTRAL/ENGINEERING,GAMMA RAY,,,,,0a81d67a-102b-4611-a38c-dbfdd7ba4e7d
2968,EARTH SCIENCE,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,BRIGHTNESS TEMPERATURE,,,,73629546-592e-41ed-bfde-feb4c94415fb
2969,EARTH SCIENCE,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,INFRARED FLUX,,,,d76e6734-956b-419d-9d7a-52b8e645b6ac
2970,EARTH SCIENCE,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,INFRARED IMAGERY,,,,d1407646-e34a-4a43-ae1d-afc4c229d6de
2971,EARTH SCIENCE,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,INFRARED RADIANCE,,,,69f475b6-42af-4822-ae57-6c8fd8ebad4a
2972,EARTH SCIENCE,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,REFLECTED INFRARED,,,,ff985037-2f20-4b08-bb22-3ed701ed2f4d
2973,EARTH SCIENCE,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SENSOR COUNTS,,,,32212cbf-e2ba-44c9-930c-8b454ea88bee
2974,EARTH SCIENCE,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,THERMAL INFRARED,,,,68c2baba-b9b9-41d4-89bf-07488728bc4f
2975,EARTH SCIENCE,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,,,,,7a73c724-b532-45eb-a9a5-c77330b61bab
2976,EARTH SCIENCE,SPECTRAL/ENGINEERING,LIDAR,APPARENT SURFACE REFLECTIVITY,,,,6b798091-6362-4e78-9c51-bd5327ec73e7
2977,EARTH SCIENCE,SPECTRAL/ENGINEERING,LIDAR,LIDAR BACKSCATTER,,,,ca776e14-fc3d-4044-9d1a-fd7c07569399
2978,EARTH SCIENCE,SPECTRAL/ENGINEERING,LIDAR,LIDAR DEPOLARIZATION RATIO,,,,19c3f401-1328-495c-9705-74b0175fee56
2979,EARTH SCIENCE,SPECTRAL/ENGINEERING,LIDAR,LIDAR WAVEFORM,,,,85fa8e79-82c0-4f18-bf12-d6e7bc8c76b0
2980,EARTH SCIENCE,SPECTRAL/ENGINEERING,LIDAR,,,,,6182be8b-d006-4327-994d-6f27c7e4d9a9
2981,EARTH SCIENCE,SPECTRAL/ENGINEERING,MICROWAVE,ANTENNA TEMPERATURE,,,,570397b4-3b45-4e12-85c3-ef26779a2c96
2982,EARTH SCIENCE,SPECTRAL/ENGINEERING,MICROWAVE,BRIGHTNESS TEMPERATURE,,,,d8525750-2ca4-4b1f-a717-08fda61fd547
2983,EARTH SCIENCE,SPECTRAL/ENGINEERING,MICROWAVE,MICROWAVE IMAGERY,,,,af234b68-d1ad-40ea-aa1b-6bc2c8e5b467
